SequenceId,Location,ConvId,NextId,CondBool,CondUnit,CondLeader,RequiredActors,ConvictionThreshold,Priority,SpecialAnimation,Interruption,StoryMoment,Speaker,Context,EN,Ori
|Act1|Act1Elite1Aniara2,1,7,8,,,,Aniara|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,别再开玩笑了！要金币还是要命？,"Enough with your jokes! Your gold or your life?"
|Act1|Act1Elite1Aniara2,1,8,9,,,,Aniara|Act1MiniBoss1,,0,,0,None,Aniara,,我倒想换笔交易。我的金币加你的命，怎么样？,"I would rather strike a different deal. How does my gold and your life sound?"
|Act1|Act1Elite1Aniara2,1,9,,,,,Aniara|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,够了！弟兄们，拿下他们！！,"Enough! Men, seize them!!"
|Act1|Act1Elite1Azha3,1,1,2,,,,Azha|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,你，德里瓦斯托的士兵。,"You there, Drivastan soldier."
|Act1|Act1Elite1Azha3,1,10,11,,,,Azha|Act1MiniBoss1,,0,,0,None,Azha,,而我要夺回本就不属于你的东西。备战！,And I shall take back what is not rightfully yours. To arms!
|Act1|Act1Elite1Azha3,1,11,18,,,,Azha|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,那就这样吧。弟兄们，拿下他们！,"So be it. Men, seize them!"
|Act1|Act1Elite1Azha3,1,12,13,,5,,Azha|Act1MiniBoss1,,1,,0,None,Draco,,哎呀呀，被他抢先了一步，是吧？,"My my, he's beaten me to it, hasn't he?"
|Act1|Act1Elite1Azha3,1,13,4,,,,Azha|Act1MiniBoss1,,0,,0,None,Azha,,你们两个都给我闭嘴。,"Shut your traps, both of you."
|Act1|Act1Elite1Azha3,1,14,15,,5,,Azha|Act1MiniBoss1,,1,,0,None,Draco,,<Cat>说实话，我不认为“星辰”有那种本事。,"<Cat>I don't think 'the Star' has the power to do that, to be honest."
|Act1|Act1Elite1Azha3,1,15,16,,,,Azha|Act1MiniBoss1,,0,,0,None,Draco,,<Cat>而且这钱的事很古怪，我不记得阿斯特的做派里有这一出。,"<Cat>And this money thing is weird, I don't remember that being a part of Aster's shtick."
|Act1|Act1Elite1Azha3,1,16,17,,,,Azha|Act1MiniBoss1,,0,,0,None,Draco,,话说，星辰<i>为什么</i>要我们辛辛苦苦挣来的钱？,"Say, <i>why</i> is the Star demanding our hard earned cash?"
|Act1|Act1Elite1Azha3,1,17,8,,,,Azha|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,我——那不重要！重要的是它要！,I- that doesn't matter! What matters is that it DEMANDS it! 
|Act1|Act1Elite1Azha3,1,18,,,5,,Azha|Act1MiniBoss1,,0,,0,None,Draco,,<Cat>哎呀呀，我们就是喘不上口气，是吧？,"<Cat>My my, we can't catch a break, can we?"
|Act1|Act1Elite1Azha3,1,19,20,,7,,Azha|Act1MiniBoss1,,1,,0,None,Aniara,,哦嚯，好大胆的宣言。,"Oho, bold proclamation."
|Act1|Act1Elite1Azha3,1,2,3|12|19,,,,Azha|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,你的其他同胞都已把金币交给了我。我希望你也照办。,The rest of your countrymen have surrendered their gold to me. I expect you to follow suit.
|Act1|Act1Elite1Azha3,1,20,21,,,,Azha|Act1MiniBoss1,,0,,0,None,Aniara,,你是怎么做到的，亲爱的？,"How did you manage that, amore mio?"
|Act1|Act1Elite1Azha3,1,21,4,,,,Azha|Act1MiniBoss1,,0,,0,None,Azha,,别把我们的尊严当成游戏。,Don't treat our pride like a game.
|Act1|Act1Elite1Azha3,1,22,23,,7,,Azha|Act1MiniBoss1,,1,,0,None,Aniara,,那你是怎么做到的？好好求人家？,And how did you do that? Ask nicely?
|Act1|Act1Elite1Azha3,1,23,24,,,,Azha|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,见证吧，星辰亲自降临，赐予了我这一切力量与财富。,"Witness, the Star itself came down and granted me all this power and wealth."
|Act1|Act1Elite1Azha3,1,24,25,,,,Azha|Act1MiniBoss1,,0,,0,None,Aniara,,是吗？有意思。,Did it now? Interesting.
|Act1|Act1Elite1Azha3,1,25,26,,,,Azha|Act1MiniBoss1,,0,,0,None,Azha,,不是有意思，是可憎。,Not interesting. Abhorrent.
|Act1|Act1Elite1Azha3,1,26,27,,,,Azha|Act1MiniBoss1,,0,,0,None,Azha,,你到底帮不帮我敲碎几个脑袋？,Are you going to help me crack some skulls or what?
|Act1|Act1Elite1Azha3,1,27,28,,,,Azha|Act1MiniBoss1,,0,,0,None,Aniara,,这才对嘛，我的冒险伙伴。,"Now you're speaking my language, mio comagno di avventura."
|Act1|Act1Elite1Azha3,1,28,11,,,,Azha|Act1MiniBoss1,,0,,0,None,Azha,,别太兴奋过头了。,Just don't get too carried away.
|Act1|Act1Elite1Azha3,1,29,5,,8,,Azha|Act1MiniBoss1,,1,,0,None,Maia,,……这话说得真怪。,...That's a weird thing to say.
|Act1|Act1Elite1Azha3,1,3,4,,,,Azha|Act1MiniBoss1,,0,,0,None,Azha,,我不信你。,I don't believe you.
|Act1|Act1Elite1Azha3,1,30,31,,8,,Azha|Act1MiniBoss1,,1,,0,None,Maia,,怎么，全都不信？,"What, all of it?"
|Act1|Act1Elite1Azha3,1,31,7,,,,Azha|Act1MiniBoss1,,0,,0,None,Azha,,不，不可能。你不可能拿下整个德里瓦斯托和帝国。,"No, it can't be. You can't have taken all of Drivasto and the Empire."
|Act1|Act1Elite1Azha3,1,32,33,,8,,Azha|Act1MiniBoss1,,1,,0,None,Maia,,……你觉得他们也拿下了我的——,...Do you think they have also taken my-
|Act1|Act1Elite1Azha3,1,33,34,,,,Azha|Act1MiniBoss1,,0,,0,None,Azha,,没时间想那个了，孩子。专心眼前的事。,"No time to think about that, child. Remain focused on the task at hand."
|Act1|Act1Elite1Azha3,1,34,35,,,,Azha|Act1MiniBoss1,,0,,0,None,Maia,,到底是什么事？,"What is that task, exactly?"
|Act1|Act1Elite1Azha3,1,35,36,,,,Azha|Act1MiniBoss1,,0,,0,None,Azha,,把这帮遭天谴的家伙从我该死的地盘上<i>踹出去</i>。<Conviction+1>,To kick their godsforsaken asses <i>out</i> of my goddsdamned country.<Conviction+1>
|Act1|Act1Elite1Azha3,1,36,11,,,,Azha|Act1MiniBoss1,,0,,0,None,Maia,,对、对！让他们好、好看！<Conviction+1>,Y-yeah! Give 'em h-hell!<Conviction+1>
|Act1|Act1Elite1Azha3,1,4,5|29,,,,Azha|Act1MiniBoss1,,0,,0,None,Azha,,想让德里瓦斯托人和他们的钱分开，比让母亲和孩子分开还难。,It's easier to split a mother from her child than a Drivastan and their money.
|Act1|Act1Elite1Azha3,1,5,6|22|30,,,,Azha|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,遗憾的是，你们的文化已被弃置一旁。这片土地的统治权已归于我们。,Unfortunately your culture has fallen by the wayside. We have been granted dominion of this land.
|Act1|Act1Elite1Azha3,1,6,7,,,,Azha|Act1MiniBoss1,,0,,0,None,Azha,,什么？怎么会？是帝国干的？,What? How? Is this the Empire's doing?
|Act1|Act1Elite1Azha3,1,7,8|14|32,,,,Azha|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,帝国也一样。星辰赐予了我们超乎你想象的力量。,"The Empire, too. The Star has granted us powers beyond your imagination."
|Act1|Act1Elite1Azha3,1,8,9,,,,Azha|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,现在，交出金币，或者交出命。,"Now, give us your gold or your life."
|Act1|Act1Elite1Azha3,1,9,10,,,,Azha|Act1MiniBoss1,,0,,0,None,Azha,,我什么<i>都不会</i>给你。,I will give you <i>nothing</i>.
|Act1|Act1Elite1Cetus5,1,1,2|47,,,,Cetus|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,你，交出所有金币，否则就尝尝我们的刀锋。,"You there, surrender all your gold or face our steel."
|Act1|Act1Elite1Cetus5,1,10,11,,2,,Cetus|Act1MiniBoss1,,1,,0,None,Vega,,奇怪，这家伙似乎还保有理智。,"Curious, this one seems to have retained his faculties."
|Act1|Act1Elite1Cetus5,1,11,12,,,,Cetus|Act1MiniBoss1,,0,,0,None,Cetus,,你这么觉得？你有在听他说话吗？,You think? Are you listening to what he's saying?
|Act1|Act1Elite1Cetus5,1,12,13,,,,Cetus|Act1MiniBoss1,,0,,0,None,Vega,,嗯，他<i>确实</i>在说些什么，这可比其他那些家伙强多了。,"Well, he <i>is</i> saying something, which is more than you can say about any of the others."
|Act1|Act1Elite1Cetus5,1,13,4,,,,Cetus|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,少废话，让我取悦我的神！,Quit your blathering and let me please my God!
|Act1|Act1Elite1Cetus5,1,14,15,,2,,Cetus|Act1MiniBoss1,,1,,0,None,Vega,,哦？这很不寻常吗？,Oh? Is this unusual?
|Act1|Act1Elite1Cetus5,1,15,16,,,,Cetus|Act1MiniBoss1,,0,,0,None,Cetus,,是啊，这些家伙按理说算是宗教领袖之类的。,"Yeah these guys are supposed to be, like, religious leaders or something."
|Act1|Act1Elite1Cetus5,1,16,17,,,,Cetus|Act1MiniBoss1,,0,,0,None,Vega,,嗯，我怀疑这之间可能有关联。,"Hm, I'm suspecting there may be a correlation there."
|Act1|Act1Elite1Cetus5,1,17,18,,,,Cetus|Act1MiniBoss1,,0,,0,None,Cetus,,听着，我一点都不关心这些，我只想保住我的金币，然后赶紧离开这鬼地方。,"Look, I don't really care about any of this, I just want to keep my gold and get the hell out of here. "
|Act1|Act1Elite1Cetus5,1,18,19,,,,Cetus|Act1MiniBoss1,,0,,0,None,Vega,,这可能是研究的好机会——,This could be a good opportunity for resea-
|Act1|Act1Elite1Cetus5,1,19,20,,,,Cetus|Act1MiniBoss1,,0,,1.5,None,Act1MiniBoss1,,我和星辰都受够了。拿下他们！,I and the Star have had enough of this. Seize them!
|Act1|Act1Elite1Cetus5,1,2,3|33,,,,Cetus|Act1MiniBoss1,,0,,0,None,Cetus,,我挺喜欢金币的，所以……不。,"I'm kind of a big fan of gold, so... No."
|Act1|Act1Elite1Cetus5,1,20,,,2,,Cetus|Act1MiniBoss1,,0,,0,None,Vega,,的确。那就改日再说吧。,"Indeed. Another time, then."
|Act1|Act1Elite1Cetus5,1,21,22,,5,,Cetus|Act1MiniBoss1,,1,,0,None,Draco,,挑衅我们开战——这我能理解。,Provoke us to combat- that I can understand.
|Act1|Act1Elite1Cetus5,1,22,23,,,,Cetus|Act1MiniBoss1,,0,,0,None,Draco,,但我觉得在金币这件事上挑战我们，可不太明智。,But I don't think it's all too wise to challenge us in matters of gold.
|Act1|Act1Elite1Cetus5,1,23,24,,,,Cetus|Act1MiniBoss1,,0,,0,None,Cetus,,还是个掌事者！我想不出有谁比这更外行了。,And an Ordinator no less! I can't think of anyone less experienced in the matter.
|Act1|Act1Elite1Cetus5,1,24,25,,,,Cetus|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,星辰已赐予我掌控金钱的力量！你们不能——,The Star has granted me mastery over money! You cannot-
|Act1|Act1Elite1Cetus5,1,25,26,,,,Cetus|Act1MiniBoss1,,0,,2.75,None,Draco,,哈哈！你想看看什么叫“掌控金钱”吗？,Haha! Ya want to see what 'mastery over money' looks like?
|Act1|Act1Elite1Cetus5,1,26,27,,,,Cetus|Act1MiniBoss1,,0,,0,None,Cetus,,喂，好朋友，想不想赌一把？,"Say good friend, are you up for a little wager?"
|Act1|Act1Elite1Cetus5,1,27,28,,,,Cetus|Act1MiniBoss1,,0,,0,None,Draco,,随时奉陪。,Always.
|Act1|Act1Elite1Cetus5,1,28,29,,,,Cetus|Act1MiniBoss1,,0,,0,None,Cetus,,不如我们比比，看走之前谁从这疯子身上捞到的战利品更多？,How about we see who can who can nab the most loot from this crazy before we leave?
|Act1|Act1Elite1Cetus5,1,29,30,,,,Cetus|Act1MiniBoss1,,0,,0,None,Draco,,赌注太小了，亲爱的。底注是什么？,"Too little stakes, my dear. What's the ante?"
|Act1|Act1Elite1Cetus5,1,3,4|10|21|58,,,,Cetus|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,星辰极为不悦。那我只好动手强取了。,"The Star is most displeased. I will have to take it by force, then."
|Act1|Act1Elite1Cetus5,1,30,31,,,,Cetus|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,别耍嘴皮子！我来教教你什么叫认真！,Quit your banter! I'll teach you not to take this seriously!
|Act1|Act1Elite1Cetus5,1,31,32,,,,Cetus|Act1MiniBoss1,,0,,0,None,Cetus,,等等，那事我得回头再答你，看来我们得先敲碎几个脑袋了。,"Hold on, I'll have to get back to you on that, I think we might have to start cracking skulls."
|Act1|Act1Elite1Cetus5,1,32,,,,,Cetus|Act1MiniBoss1,,0,,0,None,Draco,,真遗憾，这儿没人让我痛快一下。<Conviction-1>,"Such a shame, no one's letting me have any fun here.<Conviction-1>"
|Act1|Act1Elite1Cetus5,1,33,34,,6,,Cetus|Act1MiniBoss1,,1,,0,None,Azha,,别跟掌事者开玩笑。他们是动真格的。,Don't joke around with an Ordinator. They mean business.
|Act1|Act1Elite1Cetus5,1,34,35,,,,Cetus|Act1MiniBoss1,,0,,0,None,Cetus,,是啊，我的正事就是保住我的钱——等等，掌事者？,"Yeah, and my business is that I get to keep my cash- wait, an Ordinator?"
|Act1|Act1Elite1Cetus5,1,35,36,,,,Cetus|Act1MiniBoss1,,0,,0,None,Cetus,,他们到底在这儿干什么？,What the hell are they doing here?
|Act1|Act1Elite1Cetus5,1,36,37,,,,Cetus|Act1MiniBoss1,,0,,0,None,Azha,,我不知道，而这让我很不舒服。你，你在集市里做什么？,"I don't know and it's making me uncomfortable. You there, what is your business in this market?"
|Act1|Act1Elite1Cetus5,1,37,38,,,,Cetus|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,星辰赐予我统辖金币的权柄。这个集市正是金钱流动之处。,The Star has granted me domain over gold. This market is where the money flows.
|Act1|Act1Elite1Cetus5,1,38,39,,,,Cetus|Act1MiniBoss1,,0,,0,None,Azha,,要是没人买卖，钱就不会流动，你这蠢货。,"Money doesn't flow if there's no one to buy or sell anything, you fool."
|Act1|Act1Elite1Cetus5,1,39,40,,,,Cetus|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,无所谓。我只在乎你交出金币，免得遭受星辰之怒。,No matter. What I care about is you surrender your gold lest you face the wrath of the Star.
|Act1|Act1Elite1Cetus5,1,4,5|14,,,,Cetus|Act1MiniBoss1,,0,,0,None,Cetus,,等一下，你是掌事者？来自高天穹的？,"Hold on a second, are you an Ordinator? From the High Firmament?"
|Act1|Act1Elite1Cetus5,1,40,41,,,,Cetus|Act1MiniBoss1,,0,,0,None,Cetus,,老兄，这家伙在绕圈子。我可不记得这是他们教义的一部分。,"Man, this guy is talking in circles. I don't remember this being a part of their religion."
|Act1|Act1Elite1Cetus5,1,41,42,,,,Cetus|Act1MiniBoss1,,0,,0,None,Cetus,,不过话说回来，我也并不在乎。,"Though then again, I don't really care."
|Act1|Act1Elite1Cetus5,1,42,43,,,,Cetus|Act1MiniBoss1,,0,,0,None,Azha,,我在乎。这非常反常。我不接受他们出现在这里。,I do. This is highly unusual. I don't accept their presence here.
|Act1|Act1Elite1Cetus5,1,43,44,,,,Cetus|Act1MiniBoss1,,0,,0,None,Azha,,这个集市属于德里瓦斯托，不属于高天穹！,"This market belongs to Drivasto, not the High Firmament!"
|Act1|Act1Elite1Cetus5,1,44,45,,,,Cetus|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,你没在听！集市归我！你们的命也归我！,You aren't listening! The market belongs to me! And so do your lives!
|Act1|Act1Elite1Cetus5,1,45,46,,,,Cetus|Act1MiniBoss1,,0,,0,None,Azha,,再说一次，拿起武器。,"Once again, ready your arms."
|Act1|Act1Elite1Cetus5,1,46,,,,,Cetus|Act1MiniBoss1,,0,,0,None,Cetus,,跟你就是没法和平相处，是吧？,"There's no peace with you, is there?"
|Act1|Act1Elite1Cetus5,1,47,48,,7,,Cetus|Act1MiniBoss1,,1,,0,None,Aniara,,我不怕你的刀锋，拦路贼。,"I'm not afraid of your steel, highwayman."
|Act1|Act1Elite1Cetus5,1,48,49,,,,Cetus|Act1MiniBoss1,,0,,0,None,Cetus,,等等，那可不是普通强盗。,"Hold on a moment, that's no regular bandit."
|Act1|Act1Elite1Cetus5,1,49,50,,,,Cetus|Act1MiniBoss1,,0,,0,None,Cetus,,那是高天穹的掌事者。太古怪了。,That's a High Firmament Ordinator. That's weird.
|Act1|Act1Elite1Cetus5,1,5,6,,,,Cetus|Act1MiniBoss1,,0,,0,None,Cetus,,你到底在这儿干什么，又到底在说什么？,What the hell are you doing here and what the hell are you talking about?
|Act1|Act1Elite1Cetus5,1,50,51,,,,Cetus|Act1MiniBoss1,,0,,0,None,Aniara,,我不在乎是谁。王公还是乞丐，挡我路者一律不留。,"I don't care who it is. Prince or pauper, they are in my way."
|Act1|Act1Elite1Cetus5,1,51,52,,,,Cetus|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,不要反抗！这是星辰的要求！,Do not resist! The Star demands it!
|Act1|Act1Elite1Cetus5,1,52,53,,,,Cetus|Act1MiniBoss1,,0,,0,None,Cetus,,真可笑，星辰要我们的金币？,"That's rich, the Star demands our gold?"
|Act1|Act1Elite1Cetus5,1,53,54,,,,Cetus|Act1MiniBoss1,,0,,0,None,Aniara,,你干嘛非要去弄明白？我以为你不在乎。我要没耐心了。,Why are you trying to figure this out? I thought you didn't care. I am losing my patience.
|Act1|Act1Elite1Cetus5,1,54,55,,,,Cetus|Act1MiniBoss1,,0,,0,None,Cetus,,呃——抱歉，你说得对。<Conviction-1>,"Er- sorry, yeah I guess you're right.<Conviction-1>"
|Act1|Act1Elite1Cetus5,1,55,56,,,,Cetus|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,别吵了，你们到底配不配合？,"Stop squabbling, are you going to cooperate or not?"
|Act1|Act1Elite1Cetus5,1,56,57,,,,Cetus|Act1MiniBoss1,,0,,0,None,Aniara,,我不跟路人谈条件，亲爱的。,"I don't negotiate with pedestrians, amore mio."
|Act1|Act1Elite1Cetus5,1,57,19,,,,Cetus|Act1MiniBoss1,,0,,0,None,Cetus,,你简直就是一场麻烦风暴，对吧？,"You're just a storm of trouble, aren't you?"
|Act1|Act1Elite1Cetus5,1,58,59,,8,,Cetus|Act1MiniBoss1,,1,,0,None,Maia,,……我们又要打了吗？,...Are we going to fight again?
|Act1|Act1Elite1Cetus5,1,59,60,,,,Cetus|Act1MiniBoss1,,0,,0,None,Cetus,,是啊，看样子是这样，抱歉。,"Yeah, it looks like it, sorry."
|Act1|Act1Elite1Cetus5,1,6,7,,,,Cetus|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,这里现在是天穹的领地，而星辰已把它许给了我。,"This is the Firmament's domain now, and the Star has promised it to me."
|Act1|Act1Elite1Cetus5,1,60,61,,,,Cetus|Act1MiniBoss1,,0,,0,None,Maia,,他们只是强盗，对吧？,"They're just bandits, right?"
|Act1|Act1Elite1Cetus5,1,61,62,,,,Cetus|Act1MiniBoss1,,0,,0,None,Cetus,,嗯……是啊，就是些强盗。很快就解决他们，别担心。,"Mm... Yeah, just some bandits. We'll make short work of them, don't worry."
|Act1|Act1Elite1Cetus5,1,62,63,,,,Cetus|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,要金币还是要命，你打算向星辰献上什么？,"Your gold or your lives, what are you offering the Star?"
|Act1|Act1Elite1Cetus5,1,63,64,,,,Cetus|Act1MiniBoss1,,0,,0,None,Maia,,“星辰”？,'The Star'?
|Act1|Act1Elite1Cetus5,1,64,65,,,,Cetus|Act1MiniBoss1,,0,,0,None,Cetus,,这带地方的口头禅罢了。听着，但愿这种事别再多了。,"Just a turn of phrase around these parts. Look, hopefully there's not much more of this."
|Act1|Act1Elite1Cetus5,1,65,66,,,,Cetus|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,那就动手？弟兄们，把他们的口袋掏空！,"To arms then? Men, empty their pockets by force!"
|Act1|Act1Elite1Cetus5,1,66,,,,,Cetus|Act1MiniBoss1,,0,,0,None,Maia,,……<Conviction-1>,...<Conviction-1>
|Act1|Act1Elite1Cetus5,1,7,8,,,,Cetus|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,<i>只要</i>我能收得上来,<i>If</i> I can collect it 
|Act1|Act1Elite1Cetus5,1,8,9,,,,Cetus|Act1MiniBoss1,,0,,0,None,Cetus,,那你得从我冰冷的尸体手里掰开，怪人。,"Well you can pry it from my cold dead hands, you weirdo."
|Act1|Act1Elite1Cetus5,1,9,,,,,Cetus|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,那就这样吧！,So be it!
|Act1|Act1Elite1Draco0,1,1,2,,,,Draco|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,你看起来是个有钱人。你是来向星辰献贡的吗？,You look like a wealthy man. Are you here to give tribute to the Star?
|Act1|Act1Elite1Draco0,1,10,11,,,,Draco|Act1MiniBoss1,,0,,0,None,Draco,,<Cat>阿斯特根本用不着金币，这不合理。,"<Cat>Aster has no use for gold, it doesn't make sense."
|Act1|Act1Elite1Draco0,1,11,12,,,,Draco|Act1MiniBoss1,,0,,0,None,Draco,,可你想要金币。区别在哪？,"You want gold, though. What's the difference?"
|Act1|Act1Elite1Draco0,1,12,13,,,,Draco|Act1MiniBoss1,,0,,0,None,Draco,,<Cat>因为我没被困在一个与物质现实隔绝的小口袋空间里！,<Cat>Well I'm not stuck in a little pocket dimension cut off from physical reality!
|Act1|Act1Elite1Draco0,1,13,14,,,,Draco|Act1MiniBoss1,,0,,0,None,Draco,,<Cat>我就在这儿，记得吗？,"<Cat>I'm right here, remember?"
|Act1|Act1Elite1Draco0,1,14,15,,,,Draco|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,我受够你拖延了。弟兄们，拿下他们！,"I've had enough of your stalling. Men, seize them!"
|Act1|Act1Elite1Draco0,1,15,16,,,,Draco|Act1MiniBoss1,,0,,0,None,Draco,,<Cat>该死，我还真挺好奇的。,"<Cat>Damn, I was really curious."
|Act1|Act1Elite1Draco0,1,16,,,,,Draco|Act1MiniBoss1,,0,,0,None,Draco,,你知道关于好奇心和猫的那句老话。,You know what they say about curiosity and the cat.
|Act1|Act1Elite1Draco0,1,2,3,,,,Draco|Act1MiniBoss1,,0,,0,None,Draco,,关你什么事？集市之主还想要更多金币做什么？,What's it to ya? What does the lord of the market want to do with more gold?
|Act1|Act1Elite1Draco0,1,3,4,,,,Draco|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,星辰要它！你必须交出金币，否则我只好用强。,The Star demands it! You must surrender your gold or I will have to force your hand.
|Act1|Act1Elite1Draco0,1,4,5,,,,Draco|Act1MiniBoss1,,0,,0,None,Draco,,嗯，这事转眼就失控了。,"Well, that got out of hand in no time."
|Act1|Act1Elite1Draco0,1,5,6,,,,Draco|Act1MiniBoss1,,0,,0,None,Draco,,<Cat>等等，这是个掌事者……说阿斯特要金币？,"<Cat>Hold on, this is an Ordinator... Saying Aster demands gold?"
|Act1|Act1Elite1Draco0,1,6,7,,,,Draco|Act1MiniBoss1,,0,,0,None,Draco,,<Cat>这不可能。他是妄想吗？,<Cat>That can't be right. Is he delusional?
|Act1|Act1Elite1Draco0,1,7,8,,,,Draco|Act1MiniBoss1,,0,,0,None,Draco,,你是妄想吧，好先生？,"Are ya delusional, my good man?"
|Act1|Act1Elite1Draco0,1,8,9,,,,Draco|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,你竟敢！你是选择死亡吗？,How dare you! Are you choosing death?
|Act1|Act1Elite1Draco0,1,9,10,,,,Draco|Act1MiniBoss1,,0,,0,None,Draco,,<Cat>闭嘴！试着劝住他，我想多了解一些。,"<Cat>Shut up! Try to talk him down, I want to know more about this."
|Act1|Act1Elite1Lyra7,1,10,11,,,,Lyra|Act1MiniBoss1,,0,,0,None,Lyra,,抱歉？你是高天穹的掌事者？为什么——,I'm sorry? Are you a High Firmament Ordinator? Why-
